id,full_name,first_name,last_name,is_active
76001,Alaa Abdelnaby,Alaa,Abdelnaby,FALSE
76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,FALSE
76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,FALSE
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,FALSE
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,FALSE
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,FALSE
76005,Tom Abernethy,Tom,Abernethy,FALSE
76006,Forest Able,Forest,Able,FALSE
76007,John Abramovic,John,Abramovic,FALSE
203518,Alex Abrines,Alex,Abrines,FALSE
1630173,Precious Achiuwa,Precious,Achiuwa,TRUE
101165,Alex Acker,Alex,Acker,FALSE
76008,Donald Ackerman,Donald,Ackerman,FALSE
76009,Mark Acres,Mark,Acres,FALSE
76010,Charles Acton,Charles,Acton,FALSE
203112,Quincy Acy,Quincy,Acy,FALSE
76011,Alvan Adams,Alvan,Adams,FALSE
76012,Don Adams,Don,Adams,FALSE
200801,Hassan Adams,Hassan,Adams,FALSE
1629121,Jaylen Adams,Jaylen,Adams,FALSE
203919,Jordan Adams,Jordan,Adams,FALSE
149,Michael Adams,Michael,Adams,FALSE
203500,Steven Adams,Steven,Adams,TRUE
912,Rafael Addison,Rafael,Addison,FALSE
1628389,Bam Adebayo,Bam,Adebayo,TRUE
1629061,Deng Adel,Deng,Adel,FALSE
76015,Rick Adelman,Rick,Adelman,FALSE
202399,Jeff Adrien,Jeff,Adrien,FALSE
201167,Arron Afflalo,Arron,Afflalo,FALSE
1630534,Ochai Agbaji,Ochai,Agbaji,TRUE
200772,Maurice Ager,Maurice,Ager,FALSE
76016,Mark Aguirre,Mark,Aguirre,FALSE
201336,Blake Ahearn,Blake,Ahearn,FALSE
76017,Danny Ainge,Danny,Ainge,FALSE
201582,Alexis Ajinca,Alexis,Ajinca,FALSE
76018,Henry Akin,Henry,Akin,FALSE
203006,Josh Akognon,Josh,Akognon,FALSE
1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,FALSE
202374,Solomon Alabi,Solomon,Alabi,FALSE
76019,Mark Alarie,Mark,Alarie,FALSE
76020,Gary Alcorn,Gary,Alcorn,FALSE
1630583,Santi Aldama,Santi,Aldama,TRUE
