All-Rookie 1st Team
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
,Russell Westbrook,PG,Oklahoma City Thunder,.398,15.3,4.9,5.3,0.2
2008,Luis Scola,F,Houston Rockets,.515,10.3,6.4,1.3,0.2
,Kevin Durant,PF,Seattle SuperSonics,.430,20.3,4.4,2.4,0.9
,Jeff Green,PF,Seattle SuperSonics,.427,10.5,4.7,1.5,0.6
,Al Horford,C,Atlanta Hawks,.498,10.1,9.7,1.5,0.9
,Al Thornton,SF,LA Clippers,.429,12.7,4.5,1.2,0.5
2007,LaMarcus Aldridge,C,Portland Trail Blazers,.503,9.0,5.0,0.4,1.2
,Andrea Bargnani,C,Toronto Raptors,.427,11.6,3.9,0.8,0.8
,Randy Foye,SG,Minnesota Timberwolves,.434,10.1,2.7,2.8,0.3
,Rudy Gay,SF,Memphis Grizzlies,.422,10.8,4.5,1.3,0.9
,Brandon Roy,SG,Portland Trail Blazers,.456,16.8,4.4,4.0,0.2
,Jorge Garbajosa,PF,Toronto Raptors,.420,8.5,4.9,1.9,0.2
2006,Andrew Bogut,C,Milwaukee Bucks,.533,9.4,7.0,2.3,0.8
,Channing Frye,F,New York Knicks,.477,12.3,5.8,0.8,0.7
,Chris Paul,PG,NO/Oklahoma City Hornets,.430,16.1,5.1,7.8,0.1
,Charlie Villanueva,PF,Toronto Raptors,.463,13.0,6.4,1.1,0.8
,Deron Williams,PG,Utah Jazz,.421,10.8,2.4,4.5,0.2
2005,Ben Gordon,SG,Chicago Bulls,.411,15.1,2.6,2.0,0.1
,Dwight Howard,C,Orlando Magic,.520,12.0,10.0,0.9,1.7
,Andre Iguodala,F,Philadelphia 76ers,.493,9.0,5.7,3.0,0.6
,Emeka Okafor,C,Charlotte Bobcats,.447,15.1,10.9,0.9,1.7
,Luol Deng,F,Chicago Bulls,.434,11.7,5.3,2.2,0.4
2004,LeBron James,SF,Cleveland Cavaliers,.417,20.9,5.5,5.9,0.7
,Carmelo Anthony,PF,Denver Nuggets,.426,21.0,6.1,2.8,0.5
,Chris Bosh,PF,Toronto Raptors,.459,11.5,7.4,1.0,1.4
,Kirk Hinrich,SG,Chicago Bulls,.386,12.0,3.4,6.8,0.3
,Dwyane Wade,G,Miami Heat,.465,16.2,4.0,4.5,0.6
2003,Caron Butler,SF,Miami Heat,.416,15.4,5.1,2.7,0.4
,Drew Gooden,PF,Orlando Magic,.457,12.5,6.5,1.2,0.5
,Nene Hilario,C,Denver Nuggets,.519,10.5,6.1,1.9,0.8
,Yao Ming,C,Houston Rockets,.498,13.5,8.2,1.7,1.8
,Amar'e Stoudemire,C,Phoenix Suns,.472,13.5,8.8,1.0,1.1
2002,Andrei Kirilenko,SF,Utah Jazz,.450,10.7,4.9,1.1,1.9
,Shane Battier,SF,Memphis Grizzlies,.429,14.4,5.4,2.8,1.0
,Pau Gasol,PF,Memphis Grizzlies,.518,17.6,8.9,2.7,2.1
,Tony Parker,G,San Antonio Spurs,.419,9.2,2.6,4.3,0.1
,Jason Richardson,SG,Golden State Warriors,.426,14.4,4.3,3.0,0.4
2001,Marc Jackson,PF,Golden State Warriors,.467,13.2,7.5,1.2,0.6
,Kenyon Martin,PF,New Jersey Nets,.445,12.0,7.4,1.9,1.7
,Darius Miles,SF,Los Angeles Clippers,.505,9.4,5.9,1.2,1.5
,Mike Miller,SG,Orlando Magic,.435,11.9,4.0,1.7,0.2
,Morris Peterson,SG,Toronto Raptors,.431,9.3,3.2,1.3,0.3
2000,Elton Brand,PF,Chicago Bulls,.482,20.1,10.0,1.9,1.6
,Steve Francis,PG,Houston Rockets,.445,18.0,5.3,6.6,0.4
,Andre Miller,PG,Cleveland Cavaliers,.449,11.1,3.4,5.8,0.2
,Lamar Odom,PF,Los Angeles Clippers,.438,16.6,7.8,4.2,1.3
,Wally Szczerbiak,SG,Minnesota Timberwolves,.511,11.6,3.7,2.8,0.3
1999,Mike Bibby,PG,Vancouver Grizzlies,.430,13.2,2.7,6.5,0.1
,Vince Carter,G,Toronto Raptors,.450,18.3,5.7,3.0,1.5
,Matt Harpring,SF,Orlando Magic,.463,8.2,4.3,0.9,0.1
,Paul Pierce,SF,Boston Celtics,.439,16.5,6.4,2.4,1.0
,Jason Williams,PG,Sacramento Kings,.374,12.8,3.1,6.0,0.0
1998,Tim Duncan,C,San Antonio Spurs,.549,21.1,11.9,2.7,2.5
,Zydrunas Ilgauskas,C,Cleveland Cavaliers,.518,13.9,8.8,0.9,1.6
,Brevin Knight,PG,Cleveland Cavaliers,.441,9.0,3.2,8.2,0.2
,Ron Mercer,SG,Boston Celtics,.450,15.3,3.5,2.2,0.2
,Keith Van Horn,PF,New Jersey Nets,.426,19.7,6.6,1.7,0.4
1997,Shareef Abdur-Rahim,PF,Vancouver Grizzlies,.453,18.7,6.9,2.2,1.0
,Marcus Camby,C,Toronto Raptors,.482,14.8,6.3,1.5,2.1
,Allen Iverson,SG,Philadelphia 76ers,.416,23.5,4.1,7.5,0.3
,Stephon Marbury,PG,Minnesota Timberwolves,.408,15.8,2.7,7.8,0.3
,Antoine Walker,PF,Boston Celtics,.425,17.5,9.0,3.2,0.6
1996,Michael Finley,SG,Phoenix Suns,.476,15.0,4.6,3.5,0.4
,Antonio McDyess,PF,Denver Nuggets,.485,13.4,7.5,1.0,1.5
,Arvydas Sabonis,C,Portland Trail Blazers,.545,14.5,8.1,1.8,1.1
,Joe Smith,PF,Golden State Warriors,.458,15.3,8.7,1.0,1.6
,Jerry Stackhouse,SF,Philadelphia 76ers,.414,19.2,3.7,3.9,1.1
,Damon Stoudamire,PG,Toronto Raptors,No stats available.
1995,Brian Grant,PF,Sacramento Kings,.511,13.2,7.5,1.2,1.5
,Grant Hill,SF,Detroit Pistons,.477,19.9,6.4,5.0,0.9
,Eddie Jones,SG,Los Angeles Lakers,.460,14.0,3.9,2.0,0.6
,Jason Kidd,PG,Dallas Mavericks,.385,11.7,5.4,7.7,0.3
,Glenn Robinson,SF,Milwaukee Bucks,.451,21.9,6.4,2.5,0.3
1994,Vin Baker,PF,Milwaukee Bucks,.501,13.5,7.6,2.0,1.4
,Anfernee Hardaway,SF,Orlando Magic,.466,16.0,5.4,6.6,0.6
,Jamal Mashburn,SF,Dallas Mavericks,.406,19.2,4.5,3.4,0.2
,Isaiah Rider,G,Minnesota Timberwolves,.468,16.6,4.0,2.6,0.4
,Chris Webber,C,Golden State Warriors,.552,17.5,9.1,3.6,2.2
1993,LaPhonso Ellis,F,Denver Nuggets,.504,14.7,9.1,1.8,1.4
,Tom Gugliotta,PF,Washington Bullets,.426,14.7,9.6,3.8,0.4
,Christian Laettner,PF,Minnesota Timberwolves,.474,18.2,8.7,2.8,1.0
,Alonzo Mourning,C,Charlotte Hornets,.511,21.0,10.3,1.0,3.5
,Shaquille O'Neal,C,Orlando Magic,.562,23.4,13.9,1.9,3.5
1992,Stacey Augmon,SF,Atlanta Hawks,.489,13.3,5.1,2.5,0.3
,Larry Johnson,F,Charlotte Hornets,.490,19.2,11.0,3.6,0.6
,Dikembe Mutombo,C,Denver Nuggets,.493,16.6,12.3,2.2,3.0
,Billy Owens,F,Golden State Warriors,.525,14.3,8.0,2.4,0.8
,Steve Smith,SG,Miami Heat,.454,12.0,3.1,4.6,0.3
1991,Dee Brown,G,Boston Celtics,.464,8.7,2.2,4.2,0.2
,Derrick Coleman,PF,New Jersey Nets,.467,18.4,10.3,2.2,1.3
,Kendall Gill,SF,Charlotte Hornets,.450,11.0,3.2,3.7,0.5
,Dennis Scott,F,Orlando Magic,.425,15.7,2.9,1.6,0.3
,Lionel Simmons,F,Sacramento Kings,.422,18.0,8.8,4.0,1.1
1990,Vlade Divac,C,Los Angeles Lakers,.499,8.5,6.2,0.9,1.4
,Sherman Douglas,G,Miami Heat,.494,14.3,2.5,7.6,0.1
,Tim Hardaway,G,Golden State Warriors,.471,14.7,3.9,8.7,0.2
,David Robinson,C,San Antonio Spurs,.531,24.3,12.0,2.0,3.9
,Pooh Richardson,G,Minnesota Timberwolves,.461,11.4,2.6,6.8,0.3
1989,Hersey Hawkins,G,Philadelphia 76ers,.455,15.1,2.8,3.0,0.5
,Mitch Richmond,G,Golden State Warriors,.468,22.0,5.9,4.2,0.2
,Rik Smits,C,Indiana Pacers,.517,11.7,6.1,0.9,1.8
,Charles Smith,F,Los Angeles Clippers,.495,16.3,6.5,1.5,1.3
,Willie Anderson,G,San Antonio Spurs,.498,18.6,5.1,4.6,0.8
1988,Armon Gilliam,F,Phoenix Suns,.475,14.8,7.9,1.3,0.5
,Mark Jackson,PG,New York Knicks,.432,13.6,4.8,10.6,0.1
,Derrick McKey,F,Seattle SuperSonics,.491,8.5,4.0,1.3,0.8
,Kenny Smith,G,Sacramento Kings,.477,13.8,2.3,7.1,0.1
,Greg Anderson,C,San Antonio Spurs,.501,11.7,6.3,1.0,1.5
1987,Ron Harper,F,Cleveland Cavaliers,.455,22.9,4.8,4.8,1.0
,Chuck Person,F,Indiana Pacers,.468,18.8,8.3,3.6,0.2
,John Williams,F,Washington Bullets,.485,14.6,7.9,1.9,2.1
,Roy Tarpley,C,Dallas Mavericks,.467,7.5,7.1,0.7,1.1
,Brad Daugherty,C,Cleveland Cavaliers,.538,15.7,8.1,3.8,0.8
1986,Patrick Ewing,C,New York Knicks,.474,20.0,9.0,2.0,2.1
,Karl Malone,PF,Utah Jazz,.496,14.9,8.9,2.9,0.5
,Charles Oakley,PF,Chicago Bulls,.519,9.6,8.6,1.7,0.4
,Joe Dumars,G,Detroit Pistons,.481,9.4,1.5,4.8,0.1
,Xavier Mcdaniel,F,Seattle SuperSonics,.490,17.1,8.0,2.4,0.5
1985,Charles Barkley,F,Philadelphia 76ers,.545,14.0,8.6,1.9,1.0
,Hakeem Olajuwon,C,Houston Rockets,.538,20.6,11.9,1.4,2.7
,Sam Perkins,C,Dallas Mavericks,.471,11.0,7.4,1.6,0.8
,Michael Jordan,G,Chicago Bulls,.515,28.2,6.5,5.9,0.8
,Sam Bowie,C,Portland Trail Blazers,.537,10.0,8.6,2.8,2.7
1984,Byron Scott,G,Los Angeles Lakers,No stats available.
,Thurl Bailey,F,Utah Jazz,No stats available.
,Jeff Malone,G,Washington Bullets,No stats available.
,Ralph Sampson,,Houston Rockets,No stats available.
,Stephen Stipanovich,,Indiana Pacers,No stats available.
,Darrell Walker,,New York Knicks,No stats available.
1983,Terry Cummings,F,San Diego Clippers,No stats available.
,Dominique Wilkins,F,Atlanta Hawks,No stats available.
,James Worthy,F,Los Angeles Lakers,No stats available.
,Quintin Dailey,,Chicago Bulls,No stats available.
,Clark Kellogg,,Indiana Pacers,No stats available.
1982,Isiah Thomas,G,Detroit Pistons,No stats available.
,Buck Williams,F,New Jersey Nets,No stats available.
,Jeff Ruland,,Washington Bullets,No stats available.
,Raymond Townsend,,Detroit Pistons,No stats available.
,Jay Vincent,,Dallas Mavericks,No stats available.
1981,Kevin McHale,,Boston Celtics,No stats available.
,Joe Carroll,,Golden State Warriors,No stats available.
,Darrell Griffith,,Utah Jazz,No stats available.
,Kelvin Ransey,,Portland Trail Blazers,No stats available.
,Larry Smith,,Golden State Warriors,No stats available.
1980,Magic Johnson,F,Los Angeles Lakers,No stats available.
,Larry Bird,,Boston Celtics,No stats available.
,Bill Cartwright,C,New York Knicks,No stats available.
,David Greenwood,,Chicago Bulls,No stats available.
,Calvin Natt,,Portland Trail Blazers,No stats available.
1979,Leon Brown,,Portland Trail Blazers,No stats available.
,Phil Ford,G,Kansas City Kings,No stats available.
,Reggie Theus,,Chicago Bulls,No stats available.
,Mychal Thompson,,Portland Trail Blazers,No stats available.
,Terry Tyler,,Detroit Pistons,No stats available.
1978,Walt Davis,FC,Phoenix Suns,No stats available.
,Marques Johnson,,Milwaukee Bucks,No stats available.
,Bernard King,,New Jersey Nets,No stats available.
,Norman Nixon,,Los Angeles Lakers,No stats available.
,Jack Sikma,,Seattle SuperSonics,No stats available.
1977,Adrian Dantley,,Buffalo Braves,No stats available.
,Mitch Kupchak,,Washington Bullets,No stats available.
,Kevin Loder,,Phoenix Suns,No stats available.
,John Lucas,,Houston Rockets,No stats available.
,Scott May,,Chicago Bulls,No stats available.
1976,Alvan Adams,,Phoenix Suns,No stats available.
,Lionel Hollins,,Portland Trail Blazers,No stats available.
,Joe Meriweather,,Houston Rockets,No stats available.
,John Shumate,FC,Buffalo Braves,No stats available.
,Gus Williams,,Golden State Warriors,No stats available.
1975,Tom Burleson,C,Seattle SuperSonics,No stats available.
,John Drew,,Atlanta Hawks,No stats available.
,Scott Wedman,GF,Kansas City-Omaha Kings,No stats available.
,Jamaal Wilkes,,Golden State Warriors,No stats available.
,Brian Winters,,Los Angeles Lakers,No stats available.
1974,Michael Bantom,,Phoenix Suns,No stats available.
,Ron Behagen,FC,Kansas City-Omaha Kings,No stats available.
,John Brown,,Atlanta Hawks,No stats available.
,Ernie Digregorio,G,Buffalo Braves,No stats available.
,Nick Weatherspoon,F,Capital Bullets,No stats available.
1973,Fred Boyd,,Philadelphia 76ers,No stats available.
,Dwight Davis,,Cleveland Cavaliers,No stats available.
,Bob McAdoo,,Buffalo Braves,No stats available.
,Lloyd Neal,,Portland Trail Blazers,No stats available.
,James Price,,Los Angeles Lakers,No stats available.
1972,Austin Carr,,Cleveland Cavaliers,No stats available.
,Phil Chenier,SG,Baltimore Bullets,No stats available.
,Clifford Ray,,Chicago Bulls,No stats available.
,Elmore Smith,C,Buffalo Braves,No stats available.
,Sidney Wicks,,Portland Trail Blazers,No stats available.
1971,David Cowens,,Boston Celtics,No stats available.
,Pete Maravich,,Atlanta Hawks,No stats available.
,Bob Lanier,,Detroit Pistons,No stats available.
,Calvin Murphy,,San Diego Rockets,No stats available.
,Geoff Petrie,,Portland Trail Blazers,No stats available.
1970,Dean Garrett,C,Los Angeles Lakers,No stats available.
,Joe White,C,Boston Celtics,No stats available.
,Kareem Abdul-Jabbar,,Milwaukee Bucks,No stats available.
,Bob Dandridge,GF,Milwaukee Bucks,No stats available.
,Lawrence Hill,,Baltimore Bullets,No stats available.
1969,Elvin Hayes,,San Diego Rockets,No stats available.
,Wes Unseld,,Baltimore Bullets,No stats available.
,Gary Gregor,,Phoenix Suns,No stats available.
,Garfield Heard,,Seattle SuperSonics,No stats available.
,Douglas Holcomb,,Los Angeles Lakers,No stats available.
1968,Walter Frazier,,New York Knicks,No stats available.
,Earl Monroe,F,Baltimore Bullets,No stats available.
,Phil Jackson,,New York Knicks,No stats available.
,John Rudd,,Seattle SuperSonics,No stats available.
,Richard Triptow,,Seattle SuperSonics,No stats available.
1967,Dave Bing,,Detroit Pistons,No stats available.
,Myron Jackson,,St. Louis Hawks,No stats available.
,Jack Marin,GF,Baltimore Bullets,No stats available.
,Erwin Mueller,,Chicago Bulls,No stats available.
,Cazzie Russell,,New York Knicks,No stats available.
1966,Rick Barry,,San Francisco Warriors,No stats available.
,William Cunningham,,Philadelphia 76ers,No stats available.
,Fred Hetzel,FC,San Francisco Warriors,No stats available.
,Hal Uplinger,G,New York Knicks,No stats available.
,Thomas Van Arsdale,,Detroit Pistons,No stats available.
1965,Willis Reed,,New York Knicks,No stats available.
,Ralph Beard,,New York Knicks,No stats available.
,Joe Caldwell,,Detroit Pistons,No stats available.
,Luke Jackson,F,Philadelphia 76ers,No stats available.
,Wali Jones,,Baltimore Bullets,No stats available.
,Howard Komives,,New York Knicks,No stats available.
1964,Jerry Lucas,C,Cincinnati Royals,No stats available.
,Nathaniel Thurmond,,San Francisco Warriors,No stats available.
,Arthur Heyman,,New York Knicks,No stats available.
,Gus Johnson,FC,Baltimore Bullets,No stats available.
,Rod Thorn,,Baltimore Bullets,No stats available.
1963,John Havlicek,,Boston Celtics,No stats available.
,David DeBusschere,,Detroit Pistons,No stats available.
,Zelmo Beaty,,St. Louis Hawks,No stats available.
,Terry Dischinger,,Chicago Zephyrs,No stats available.
,Milt Wagner,GF,Syracuse Nationals,No stats available.
